,DatumFileBegin,TijdFileBegin,FileDuur,RouteOms,OorzaakGronddetail,nr_accidents,weekday
7289,2016-09-13,0 days 08:06:00,55.95,A2,Spitsfile (geen oorzaak gemeld),11795,Tuesday
7299,2016-09-09,0 days 16:39:00,1.533,A2,Spitsfile (geen oorzaak gemeld),11795,Friday
7303,2016-09-13,0 days 17:48:00,5.117,A2,Spitsfile (geen oorzaak gemeld),11795,Tuesday
7307,2016-09-07,0 days 08:21:00,23.55,A2,Spitsfile (geen oorzaak gemeld),11795,Wednesday
7316,2016-09-08,0 days 09:23:00,4.583,A2,Spitsfile (geen oorzaak gemeld),11795,Thursday
7318,2016-09-15,0 days 17:26:00,1.117,A2,Spitsfile (geen oorzaak gemeld),11795,Thursday
7324,2016-09-07,0 days 18:22:00,4.533,A2,Spitsfile (geen oorzaak gemeld),11795,Wednesday
7353,2016-09-13,0 days 17:35:00,5.15,A2,Spitsfile (geen oorzaak gemeld),11795,Tuesday
7356,2016-09-12,0 days 16:24:00,8.9,A2,Spitsfile (geen oorzaak gemeld),11795,Monday
7374,2016-09-15,0 days 16:29:00,3.0,A2,Spitsfile (geen oorzaak gemeld),11795,Thursday
7388,2016-09-08,0 days 09:05:00,31.533,A2,Spitsfile (geen oorzaak gemeld),11795,Thursday
7391,2016-09-08,0 days 09:42:00,17.583,A2,Spitsfile (geen oorzaak gemeld),11795,Thursday
7402,2016-09-21,0 days 18:04:00,0.95,A2,Spitsfile (geen oorzaak gemeld),11795,Wednesday
7410,2016-09-07,0 days 17:01:00,3.567,A2,Spitsfile (geen oorzaak gemeld),11795,Wednesday
7434,2016-09-27,0 days 18:40:00,3.383,A2,Spitsfile (geen oorzaak gemeld),11795,Tuesday
7435,2016-09-23,0 days 18:03:00,3.967,A2,Spitsfile (geen oorzaak gemeld),11795,Friday
7456,2016-09-26,0 days 08:26:00,1.133,A2,Spitsfile (geen oorzaak gemeld),11795,Monday
7464,2016-09-27,0 days 16:42:00,35.1,A2,Spitsfile (geen oorzaak gemeld),11795,Tuesday
7465,2016-09-23,0 days 16:36:00,3.167,A2,Spitsfile (geen oorzaak gemeld),11795,Friday
7470,2016-09-27,0 days 08:49:00,10.083,A2,Spitsfile (geen oorzaak gemeld),11795,Tuesday
7476,2016-09-28,0 days 08:28:00,30.967,A2,Spitsfile (geen oorzaak gemeld),11795,Wednesday
7480,2016-09-27,0 days 08:48:00,1.083,A2,Spitsfile (geen oorzaak gemeld),11795,Tuesday
7487,2016-09-27,0 days 08:10:00,12.3,A2,Spitsfile (geen oorzaak gemeld),11795,Tuesday
7503,2016-09-21,0 days 17:54:00,6.05,A2,Spitsfile (geen oorzaak gemeld),11795,Wednesday
7511,2016-09-27,0 days 16:48:00,11.183,A2,Spitsfile (geen oorzaak gemeld),11795,Tuesday
7514,2016-09-27,0 days 08:46:00,18.017,A2,Spitsfile (geen oorzaak gemeld),11795,Tuesday
7527,2016-09-26,0 days 17:30:00,6.017,A2,Spitsfile (geen oorzaak gemeld),11795,Monday
7541,2016-09-22,0 days 16:50:00,2.117,A2,Spitsfile (geen oorzaak gemeld),11795,Thursday
7553,2016-09-23,0 days 16:56:00,7.117,A2,Spitsfile (geen oorzaak gemeld),11795,Friday
7558,2016-09-27,0 days 16:53:00,3.1,A2,Spitsfile (geen oorzaak gemeld),11795,Tuesday
7563,2016-09-27,0 days 08:09:00,0.9,A2,Spitsfile (geen oorzaak gemeld),11795,Tuesday
7565,2016-09-23,0 days 15:01:00,7.9,A2,Spitsfile (geen oorzaak gemeld),11795,Friday
7574,2016-09-01,0 days 16:57:00,5.583,A2,Spitsfile (geen oorzaak gemeld),11795,Thursday
7583,2016-09-28,0 days 16:23:00,6.067,A2,Spitsfile (geen oorzaak gemeld),11795,Wednesday
7599,2016-09-23,0 days 17:01:00,1.05,A2,Spitsfile (geen oorzaak gemeld),11795,Friday
7601,2016-09-27,0 days 08:24:00,6.283,A2,Spitsfile (geen oorzaak gemeld),11795,Tuesday
7603,2016-09-23,0 days 17:06:00,4.65,A2,Spitsfile (geen oorzaak gemeld),11795,Friday
7614,2016-09-23,0 days 18:00:00,6.083,A2,Spitsfile (geen oorzaak gemeld),11795,Friday
7626,2016-09-23,0 days 18:41:00,5.967,A2,Spitsfile (geen oorzaak gemeld),11795,Friday
7627,2016-09-27,0 days 09:06:00,14.967,A2,Spitsfile (geen oorzaak gemeld),11795,Tuesday
7631,2016-09-26,0 days 08:54:00,4.033,A2,Spitsfile (geen oorzaak gemeld),11795,Monday
7685,2016-09-26,0 days 08:14:00,2.2,A2,Spitsfile (geen oorzaak gemeld),11795,Monday
7687,2016-09-22,0 days 18:08:00,5.833,A2,Spitsfile (geen oorzaak gemeld),11795,Thursday
7693,2016-09-05,0 days 07:15:00,2.533,A2,Spitsfile (geen oorzaak gemeld),11795,Monday
7717,2016-09-26,0 days 07:01:00,0.95,A2,Spitsfile (geen oorzaak gemeld),11795,Monday
7719,2016-09-29,0 days 17:25:00,4.2,A2,Spitsfile (geen oorzaak gemeld),11795,Thursday
7720,2016-09-29,0 days 16:52:00,8.2,A2,Spitsfile (geen oorzaak gemeld),11795,Thursday
7729,2016-09-26,0 days 09:08:00,6.967,A2,Spitsfile (geen oorzaak gemeld),11795,Monday
7741,2016-09-23,0 days 15:13:00,11.917,A2,Spitsfile (geen oorzaak gemeld),11795,Friday
7755,2016-09-28,0 days 16:40:00,36.1,A2,Spitsfile (geen oorzaak gemeld),11795,Wednesday
7762,2016-09-23,0 days 17:30:00,2.133,A2,Spitsfile (geen oorzaak gemeld),11795,Friday
7769,2016-09-28,0 days 17:00:00,6.117,A2,Spitsfile (geen oorzaak gemeld),11795,Wednesday
7771,2016-09-29,0 days 17:26:00,21.317,A2,Spitsfile (geen oorzaak gemeld),11795,Thursday
7779,2016-09-28,0 days 17:37:00,11.067,A2,Spitsfile (geen oorzaak gemeld),11795,Wednesday
7788,2016-09-29,0 days 17:22:00,0.283,A2,Spitsfile (geen oorzaak gemeld),11795,Thursday
7790,2016-09-28,0 days 18:30:00,5.95,A2,Spitsfile (geen oorzaak gemeld),11795,Wednesday
7791,2016-09-29,0 days 17:21:00,38.283,A2,Spitsfile (geen oorzaak gemeld),11795,Thursday
7792,2016-09-28,0 days 16:25:00,10.067,A2,Spitsfile (geen oorzaak gemeld),11795,Wednesday
7811,2016-09-28,0 days 17:17:00,9.033,A2,Spitsfile (geen oorzaak gemeld),11795,Wednesday
7815,2016-09-29,0 days 16:51:00,18.3,A2,Spitsfile (geen oorzaak gemeld),11795,Thursday
7818,2016-09-28,0 days 17:11:00,7.067,A2,Spitsfile (geen oorzaak gemeld),11795,Wednesday
7826,2016-09-22,0 days 08:03:00,5.05,A2,Spitsfile (geen oorzaak gemeld),11795,Thursday
7830,2016-09-28,0 days 16:08:00,44.117,A2,Spitsfile (geen oorzaak gemeld),11795,Wednesday
7839,2016-09-23,0 days 17:42:00,9.1,A2,Spitsfile (geen oorzaak gemeld),11795,Friday
7844,2016-09-28,0 days 17:09:00,7.1,A2,Spitsfile (geen oorzaak gemeld),11795,Wednesday
7846,2016-09-27,0 days 17:09:00,78.0,A2,Spitsfile (geen oorzaak gemeld),11795,Tuesday
7851,2016-09-28,0 days 16:21:00,4.067,A2,Spitsfile (geen oorzaak gemeld),11795,Wednesday
7857,2016-09-23,0 days 15:18:00,3.95,A2,Spitsfile (geen oorzaak gemeld),11795,Friday
7864,2016-09-26,0 days 06:27:00,34.283,A2,Spitsfile (geen oorzaak gemeld),11795,Monday
7875,2016-09-23,0 days 16:23:00,8.117,A2,Spitsfile (geen oorzaak gemeld),11795,Friday
7889,2016-09-23,0 days 15:35:00,5.967,A2,Spitsfile (geen oorzaak gemeld),11795,Friday
7900,2016-09-27,0 days 18:22:00,19.983,A2,Spitsfile (geen oorzaak gemeld),11795,Tuesday
7908,2016-09-23,0 days 17:12:00,5.133,A2,Spitsfile (geen oorzaak gemeld),11795,Friday
7910,2016-09-06,0 days 18:54:00,9.567,A2,Spitsfile (geen oorzaak gemeld),11795,Tuesday
7949,2016-09-23,0 days 17:24:00,14.15,A2,Spitsfile (geen oorzaak gemeld),11795,Friday
7955,2016-09-29,0 days 16:32:00,11.217,A2,Spitsfile (geen oorzaak gemeld),11795,Thursday
7957,2016-09-28,0 days 16:58:00,5.083,A2,Spitsfile (geen oorzaak gemeld),11795,Wednesday
7967,2016-09-09,0 days 15:26:00,3.55,A2,Spitsfile (geen oorzaak gemeld),11795,Friday
